filename,lines
train-00000-of-00020.json,3058025
train-00001-of-00020.json,3057261
train-00002-of-00020.json,3059232
train-00003-of-00020.json,3052401
train-00004-of-00020.json,3059123
train-00005-of-00020.json,3055739
train-00006-of-00020.json,3057283
train-00007-of-00020.json,3057204
train-00008-of-00020.json,3058789
train-00009-of-00020.json,3053960
validation-00000-of-00002.json,109709
